Time;Gaze.X;GazeY;SubjectID;Snippet;Indentation;TrialNumber
198098981,263027;921,204941133822;559,325324402324;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198098987,632207;916,625848477443;564,662151142883;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099003,441775;942,490338606954;565,110517154074;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099018,640578;946,574563684351;566,985869562633;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099048,839073;956,684733035416;559,929586723188;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099063,084592;952,696730450599;567,316149654875;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099076,366952;949,559313599901;563,464561108045;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099092,879729;950,179199395923;551,668460069286;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099108,13068;939,119336513987;556,719496935915;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099121,209978;936,737253695667;560,528054712188;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099138,04394;917,573682854863;564,055837176361;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099153,199286;915,300706795828;562,889550752544;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099166,306239;916,025820568049;555,513134356315;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099198,808732;916,679355670225;556,118870024789;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099211,611882;916,888548267131;555,833576433178;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099228,999325;919,472453390243;549,701706755212;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099244,403165;922,87561742722;540,429597145107;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099257,242661;926,982283285831;536,258253491646;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099273,817068;954,931574363971;507,547614994118;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099288,933303;954,020697857708;507,283077976814;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099302,383564;942,998743164842;517,498535593736;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099318,897921;936,21518946284;521,249169875226;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099348,476959;917,191797900493;534,093107519794;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099363,752009;919,012412796922;532,617103018693;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099392,553171;910,923456954544;535,073223993834;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099408,933998;931,300152906109;521,284582999599;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099424,118578;939,93622651907;514,667691302961;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
198099437,590173;927,997318697099;520,373058284041;43976856-0666-41bc-bd2a-a8f396ef561c;Test;2;0
