Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Test;2;4;83770;False;58b0e895-0a15-4387-9e7c-061fb5cbdf20
1;Main;0;xomoxoxoo;121781;False;58b0e895-0a15-4387-9e7c-061fb5cbdf20
2;Program;4;27;84358;False;58b0e895-0a15-4387-9e7c-061fb5cbdf20
3;Do;8;8;55332;False;58b0e895-0a15-4387-9e7c-061fb5cbdf20

