Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Test;2;4;86868;False;08ca789b-fdb3-466d-97ff-986de9d1b8c8
1;Main;0;xomoxoxoo;110686;False;08ca789b-fdb3-466d-97ff-986de9d1b8c8
2;Program;4;11;127536;False;08ca789b-fdb3-466d-97ff-986de9d1b8c8
3;Do;8;8;94490;False;08ca789b-fdb3-466d-97ff-986de9d1b8c8

