Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Program;2;6;98528;False;b2086a14-44bf-4a26-8261-f2679230b9a8
1;Main;0;xomoxoxoo;102166;False;b2086a14-44bf-4a26-8261-f2679230b9a8
2;Test;4;4;95629;False;b2086a14-44bf-4a26-8261-f2679230b9a8
3;Do;8;8;73311;False;b2086a14-44bf-4a26-8261-f2679230b9a8

