Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Main;4;xomoxoxoo;115363;False;bc09646b-dfee-4aac-8918-eee34b72ef2b
1;Do;8;20;128736;False;bc09646b-dfee-4aac-8918-eee34b72ef2b
2;Test;0;4;92814;False;bc09646b-dfee-4aac-8918-eee34b72ef2b
3;Program;2;27;120927;False;bc09646b-dfee-4aac-8918-eee34b72ef2b

