Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Do;4;8;85720;False;e2f1a12c-0c6c-4377-9cb3-7900e161543e
1;Program;2;27;63265;False;e2f1a12c-0c6c-4377-9cb3-7900e161543e
2;Main;0;xomomox;82357;False;e2f1a12c-0c6c-4377-9cb3-7900e161543e
3;Test;8;5;49603;False;e2f1a12c-0c6c-4377-9cb3-7900e161543e

