Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Main;4;xmxxo;170011;False;657cdd6f-3b1b-4211-95cf-e6b348f17525
1;Program;2;123;73809;False;657cdd6f-3b1b-4211-95cf-e6b348f17525
2;Test;8;4;67777;False;657cdd6f-3b1b-4211-95cf-e6b348f17525
3;Do;0;8;62807;False;657cdd6f-3b1b-4211-95cf-e6b348f17525

