Time;Gaze.X;GazeY;SubjectID;Snippet;Indentation;TrialNumber
105386418,385217;937,461230618805;540,576525161623;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386430,886151;945,454056273055;542,286996219244;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386445,356466;945,065137282609;541,520086455187;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386458,617103;945,969848249053;538,827636461563;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386476,108849;947,952646629583;537,272640509497;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386490,553485;949,589702389023;533,505842809043;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386503,460147;950,855654176779;530,218249163469;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386520,427646;949,841533169674;529,664543406773;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386535,748529;949,372946514125;530,038653318395;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386566,707134;944,300091501028;531,627756170895;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386580,868906;942,725127479031;532,892210977903;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386593,998778;944,011129262236;531,622303097995;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386610,730425;943,92566916556;531,180385756387;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386625,673234;946,442339965081;530,336680701622;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386638,785723;947,279646194683;530,006461769938;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386655,637864;947,848551604728;527,655874978088;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386670,819291;942,237735320314;526,030723313193;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386685,230347;941,255917179024;525,146929591525;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386718,508753;725,757199556478;409,349560291299;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386730,234576;600,087432645931;343,403692817161;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386747,429631;591,358453649958;337,933009536271;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386760,230811;589,439655666867;337,646513057998;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386773,47525;589,939502657215;338,142504249103;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386790,078108;594,181330982828;346,36573498613;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386805,93904;594,225403931651;346,130606296655;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386824,773205;591,537145560255;342,452859813916;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386841,208952;566,487389356565;309,157046896542;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386864,598572;489,289944956126;207,332875614479;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386880,359553;461,708062527337;170,137973835313;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386894,798264;451,796277623644;156,349976994025;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386908,802406;449,167724402914;154,441800267384;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386926,700276;451,322171330945;158,909758093479;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386941,732369;451,329841974792;159,9322373169;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386955,6974;445,226274050578;159,583143364981;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386975,934034;444,779173739493;159,186102171336;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105386985,036253;441,761625163341;156,855408864304;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105387016,223203;440,630686145073;154,927707264767;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105387030,494408;446,999982455571;158,590833184408;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105387043,557119;443,583276596366;155,902165867302;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105387060,398198;477,368948866129;154,938539339226;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105387088,551866;523,383278175258;153,677167106328;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105387105,668304;539,973273632714;153,798453425906;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
105387134,593922;566,112553904656;154,243994075571;2d5a163b-7255-40f4-a466-fda7fda39b57;Program;2;0
