SubjectName;FixationCount;FixationCountPerSec;FixationDurationMean;FixationDurationMedian;SaccadeRatio;SaccadeLengthAverage;TrialSequence;TrialID;TrialName;Column1;Snippet;Indentation;SubjectID
gp;477.0;3674205.0;196411000000000.0;174.0;72165400000000.0;1209294.0;1.0;12.0;Test0.jpg;;Test;Indent 0;2a020c38-c194-4a9e-9c74-d20a3c303cec
gp;681.0;3251745.0;229978000000000.0;181.0;747830000000000.0;1163261.0;2.0;11.0;Program8.jpg;;Program;Indent 8;2a020c38-c194-4a9e-9c74-d20a3c303cec
gp;860.0;3460806.0;207697000000000.0;166.0;718797000000000.0;1494369.0;3.0;5.0;Main2.jpg;;Main;Indent 2;2a020c38-c194-4a9e-9c74-d20a3c303cec
gpp;305.0;3437278.0;205384000000000.0;163.0;705961000000000.0;1623934.0;0.0;14.0;Test4.jpg;;Test;Indent 4;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c
gpp;197.0;3405535.0;206396000000000.0;180.0;702889000000000.0;1468966.0;1.0;1.0;Do2.jpg;;Do;Indent 2;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c
gpp;357.0;3589347.0;188199000000000.0;151.0;675511000000000.0;1749731.0;2.0;4.0;Main0.jpg;;Main;Indent 0;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c
gpp;310.0;3453269.0;227445000000000.0;179.0;785429000000000.0;1419122.0;3.0;11.0;Program8.jpg;;Program;Indent 8;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c
jjo;537.0;330366.0;219149000000000.0;181.0;723994000000000.0;1364177.0;0.0;5.0;Main2.jpg;;Main;Indent 2;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948
jjo;476.0;3198001.0;229729000000000.0;1855.0;734673000000000.0;1444196.0;1.0;15.0;Test8.jpg;;Test;Indent 8;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948
jjo;340.0;2880965.0;242324000000000.0;182.0;698126000000000.0;1458076.0;2.0;0.0;Do0.jpg;;Do;Indent 0;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948
jjo;542.0;3123127.0;248048000000000.0;194.0;774685000000000.0;1211065.0;3.0;10.0;Program4.jpg;;Program;Indent 4;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948
jmo;258.0;3350214.0;202884000000000.0;151.0;679704000000000.0;1254924.0;0.0;13.0;Test2.jpg;;Test;Indent 2;e57e7136-95f1-44fc-9fd9-e5f805081140
jmo;381.0;3424134.0;188073000000000.0;163.0;643989000000000.0;1523509.0;1.0;4.0;Main0.jpg;;Main;Indent 0;e57e7136-95f1-44fc-9fd9-e5f805081140
jmo;370.0;3364921.0;212508000000000.0;163.0;715073000000000.0;1366232.0;2.0;10.0;Program4.jpg;;Program;Indent 4;e57e7136-95f1-44fc-9fd9-e5f805081140
jmo;351.0;3658079.0;198607000000000.0;164.0;726520000000000.0;1318025.0;3.0;3.0;Do8.jpg;;Do;Indent 8;e57e7136-95f1-44fc-9fd9-e5f805081140
jo;342.0;3762501.0;191675000000000.0;168.0;721179000000000.0;1215649.0;0.0;9.0;Program2.jpg;;Program;Indent 2;2d5a163b-7255-40f4-a466-fda7fda39b57
jo;400.0;3902782.0;185585.0;163.0;724298000000000.0;1352043.0;1.0;7.0;Main8.jpg;;Main;Indent 8;2d5a163b-7255-40f4-a466-fda7fda39b57
jo;365.0;3953468.0;181808000000000.0;162.0;718773000000000.0;1296586.0;2.0;12.0;Test0.jpg;;Test;Indent 0;2d5a163b-7255-40f4-a466-fda7fda39b57
jo;589.0;3942516.0;186355000000000.0;168.0;734707000000000.0;1322095.0;3.0;2.0;Do4.jpg;;Do;Indent 4;2d5a163b-7255-40f4-a466-fda7fda39b57
kkp;104.0;1152125.0;224404000000000.0;1355.0;258541000000000.0;1730606.0;0.0;15.0;Test8.jpg;;Test;Indent 8;a8274994-925c-4bf4-bfee-6a2318a0ae79
kkp;166.0;1366289.0;200127000000000.0;106.0;273431000000000.0;2055061.0;1.0;4.0;Main0.jpg;;Main;Indent 0;a8274994-925c-4bf4-bfee-6a2318a0ae79
kkp;113.0;107946.0;289655000000000.0;134.0;312671000000000.0;146069.0;2.0;9.0;Program2.jpg;;Program;Indent 2;a8274994-925c-4bf4-bfee-6a2318a0ae79
kkp;73.0;1060045.0;283205000000000.0;120.0;300211000000000.0;1486432.0;3.0;2.0;Do4.jpg;;Do;Indent 4;a8274994-925c-4bf4-bfee-6a2318a0ae79
kp;229.0;1806592.0;1547900000000.0;118.0;279643000000000.0;1520976.0;0.0;0.0;Do0.jpg;;Do;Indent 0;340b02c1-6d18-472e-a606-6691e455637d
kp;22.0;1381163.0;158545000000000.0;905.0;218977000000000.0;1525397.0;1.0;10.0;Program4.jpg;;Program;Indent 4;340b02c1-6d18-472e-a606-6691e455637d
kp;40.0;2710541.0;160975.0;1485.0;43632900000000.0;1927261.0;2.0;7.0;Main8.jpg;;Main;Indent 8;340b02c1-6d18-472e-a606-6691e455637d
kp;4.0;2314815.0;129.0;112.0;298611000000000.0;1310101.0;3.0;13.0;Test2.jpg;;Test;Indent 2;340b02c1-6d18-472e-a606-6691e455637d
kyp;399.0;3309693.0;212805000000000.0;150.0;704318000000000.0;1068972.0;0.0;13.0;Test2.jpg;;Test;Indent 2;f8097b81-451a-4674-8e3c-a9bef6d6e763
kyp;371.0;3228698.0;190765000000000.0;150.0;615924000000000.0;1103542.0;1.0;4.0;Main0.jpg;;Main;Indent 0;f8097b81-451a-4674-8e3c-a9bef6d6e763
kyp;327.0;2990781.0;233841000000000.0;165.0;699367000000000.0;1056516.0;2.0;10.0;Program4.jpg;;Program;Indent 4;f8097b81-451a-4674-8e3c-a9bef6d6e763
kyp;409.0;3187767.0;224513000000000.0;163.0;715696000000000.0;1094272.0;3.0;3.0;Do8.jpg;;Do;Indent 8;f8097b81-451a-4674-8e3c-a9bef6d6e763
lg;160.0;2996311.0;178675.0;1635.0;535366000000000.0;2284599.0;0.0;14.0;Test4.jpg;;Test;Indent 4;3432f575-9d7d-4600-a52b-cf682c33c2d7
lg;143.0;3302312.0;174035000000000.0;135.0;574718000000000.0;1718094.0;1.0;8.0;Program0.jpg;;Program;Indent 0;3432f575-9d7d-4600-a52b-cf682c33c2d7
lg;296.0;3314707.0;165902000000000.0;135.0;549917000000000.0;1702695.0;2.0;1.0;Do2.jpg;;Do;Indent 2;3432f575-9d7d-4600-a52b-cf682c33c2d7
