Time;Gaze.X;GazeY;SubjectID;Snippet;Indentation;TrialNumber
107828136,952781;957,111592697809;549,808146777274;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828151,877806;957,913431749037;556,920349091015;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828163,103871;962,270148953909;547,637437718032;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828180,100598;960,837968213225;546,41766143662;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828194,109081;960,451385715119;545,402891633382;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828208,44823;958,087479604965;546,657455761204;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828224,131378;964,730120224491;544,001897623983;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828239,19349;967,789591536848;544,202860090764;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828253,174318;968,395523764463;541,79534224606;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828287,006588;970,407912648076;554,194282153436;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828299,900998;969,051852199163;559,473623338109;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828313,878666;965,444880486898;560,520934817871;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828329,017024;949,117268323068;562,825808556842;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828343,532766;878,185756838149;482,173685414196;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828359,103321;814,067883652279;424,87673357895;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828374,338865;815,473664343447;431,050264338746;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828388,372631;770,681316663813;396,557254982391;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828403,96136;751,956974231602;374,999129923066;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828434,174867;713,665003167165;334,409323057932;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828449,204583;696,010942648175;317,02899081452;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828463,871633;694,527892924184;311,503488723082;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828477,892758;691,401381468718;305,549539436705;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828493,92356;647,885880582463;248,936294085904;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828508,920882;638,754163956097;237,223070151441;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828523,41292;634,939555359813;229,234564569872;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828538,88313;634,534818191903;226,26284773077;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828554,049142;618,988016145341;216,575902026307;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828585,681315;609,370692687204;215,604420797649;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828598,890193;568,373010547237;205,812166627652;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828613,405145;540,312609100895;198,113563306495;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
107828628,897478;536,381230906116;196,247584530727;7567cd4b-d1d0-4784-afea-746593590c8a;Test;2;0
