Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Do;0;8;53171;False;3a03db20-3ac0-4220-8a6f-ebb73f052032
1;Program;2;27;56504;False;3a03db20-3ac0-4220-8a6f-ebb73f052032
2;Main;4;xomoxoxoo;69382;False;3a03db20-3ac0-4220-8a6f-ebb73f052032
3;Test;8;4;54535;False;3a03db20-3ac0-4220-8a6f-ebb73f052032

