Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Do;0;8;119765;False;340b02c1-6d18-472e-a606-6691e455637d
1;Program;4;27;124352;False;340b02c1-6d18-472e-a606-6691e455637d
2;Main;8;xomoxoxoo;117414;False;340b02c1-6d18-472e-a606-6691e455637d
3;Test;2;4;108923;False;340b02c1-6d18-472e-a606-6691e455637d

