Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Test;2;3;71753;False;e57e7136-95f1-44fc-9fd9-e5f805081140
1;Main;0;xomoxoxomo;107127;False;e57e7136-95f1-44fc-9fd9-e5f805081140
2;Program;4;27;106682;False;e57e7136-95f1-44fc-9fd9-e5f805081140
3;Do;8;8;95973;False;e57e7136-95f1-44fc-9fd9-e5f805081140

