Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID;RightAnswerGiven;Difficulty
3;Program;2;27;120927;False;bc09646b-dfee-4aac-8918-eee34b72ef2b;yes;2
0;Program;0;13;47444;False;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;no;3
1;Main;2;xomoxoxoo;57531;False;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;yes;2
2;Test;8;4;51834;False;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;yes;1
3;Do;4;8;45526;False;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;yes;0
0;Do;4;8;92433;False;db813ec1-a4b3-459b-8fe5-f7922f07c48a;yes;1
1;Program;8;30;276113;False;db813ec1-a4b3-459b-8fe5-f7922f07c48a;no;3
2;Test;0;4;78096;False;db813ec1-a4b3-459b-8fe5-f7922f07c48a;yes;0
3;Main;2;xomoxoxoo;153088;False;db813ec1-a4b3-459b-8fe5-f7922f07c48a;yes;2
0;Main;8;xomoxoxomo;79335;False;deb2daed-9b19-4b16-8d73-19782d99f1be;no;3
1;Do;4;8;80255;False;deb2daed-9b19-4b16-8d73-19782d99f1be;yes;0
2;Program;0;27;93555;False;deb2daed-9b19-4b16-8d73-19782d99f1be;yes;1
3;Test;2;4;99408;False;deb2daed-9b19-4b16-8d73-19782d99f1be;yes;2
0;Do;4;8;85720;False;e2f1a12c-0c6c-4377-9cb3-7900e161543e;yes;1
1;Program;2;27;63265;False;e2f1a12c-0c6c-4377-9cb3-7900e161543e;yes;0
2;Main;0;xomomox;82357;False;e2f1a12c-0c6c-4377-9cb3-7900e161543e;no;3
3;Test;8;5;49603;False;e2f1a12c-0c6c-4377-9cb3-7900e161543e;no;2
0;Test;4;4;83908;False;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;yes;1
1;Do;2;8;54384;False;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;yes;0
2;Main;0;xomoxoxoo;96448;False;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;yes;3
3;Program;8;27;89799;False;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;yes;2
