Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Program;4;21;119029;False;83f51366-0cb7-42d4-8272-6c42d820419d
1;Main;8;xooxox;142301;False;83f51366-0cb7-42d4-8272-6c42d820419d
2;Test;0;5;104489;False;83f51366-0cb7-42d4-8272-6c42d820419d
3;Do;2;-12;96567;False;83f51366-0cb7-42d4-8272-6c42d820419d

