Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Test;2;4;98990;False;d098b2cc-b54c-42aa-bc09-908e2dbbbaf3
1;Main;0;xomoxoxoo;160630;False;d098b2cc-b54c-42aa-bc09-908e2dbbbaf3
2;Program;4;27;158465;False;d098b2cc-b54c-42aa-bc09-908e2dbbbaf3
3;Do;8;8;162445;False;d098b2cc-b54c-42aa-bc09-908e2dbbbaf3

